Fecha,Operación,Propiedad,Ciudad,Precio (USD)
15/12/2023,Alquiler,Apartamento,Berlín,1700
20/12/2023,Alquiler,Casa,Ámsterdam,4600
25/12/2023,Venta,Apartamento,Roma,320000
1/1/2024,Venta,Casa,Londres,640000
5/1/2024,Alquiler,Apartamento,París,2400
10/1/2024,Venta,Local comercial,Madrid,200000
15/02/2024,Alquiler,Apartamento,Berlín,1600
20/02/2024,Venta,Casa,Ámsterdam,480000
25/02/2024,Venta,Apartamento,Barcelona,330000
1/3/2024,Alquiler,Apartamento,Roma,2200
5/3/2024,Venta,Casa,Londres,570000
10/3/2024,Alquiler,Local comercial,París,3500
15/03/2024,Alquiler,Apartamento,Madrid,1900
20/03/2024,Venta,Casa,Barcelona,670000
25/03/2024,Venta,Apartamento,Ámsterdam,390000
1/4/2024,Venta,Apartamento,Roma,250000
5/4/2024,Alquiler,Apartamento,Londres,2100
10/4/2024,Venta,Local comercial,Madrid,180000
15/04/2024,Alquiler,Apartamento,Berlín,1700
20/04/2024,Venta,Apartamento,Ámsterdam,360000
25/04/2024,Venta,Casa,Barcelona,630000
1/5/2024,Venta,Apartamento,París,300000
5/5/2024,Alquiler,Apartamento,Londres,2300
10/5/2024,Alquiler,Casa,Madrid,3800
15/05/2024,Venta,Casa,Londres,590000
20/05/2024,Alquiler,Apartamento,París,2400
25/05/2024,Alquiler,Apartamento,Berlín,1900
1/6/2024,Venta,Local comercial,Ámsterdam,250000
5/6/2024,Venta,Casa,Roma,520000
